"model"	"type_id"	"id"	"kategorie"	"rodina"	"typ"	"t_aed_klasifikace"	"t_aed_system"	"t_oznaceni_typu"	"t_popis"
TERN_1201_DSP_D11_SO01_FAC	"3788980"	"3788444"	Panely obvodového pláště	System Panel	BA_LOP_Panel_parter	LOP	SOUC		tep. i. + hliníkový porvch
TERN_1201_DSP_D11_SO01_FAC	"3462895"	"3653690"	Panely obvodového pláště	System Panel	BA_LOP_Panel_terrace	LOP	SOUC		tep. i. + hliníkový porvch
TERN_1201_DSP_D11_SO01_FAC	"3491718"	"3335414"	Panely obvodového pláště	System Panel	BA-Glazed_ext	LOP	SOUC	"04"	Číre zasklení
TERN_1201_DSP_D11_SO01_FAC	"3613825"	"3545060"	Panely obvodového pláště	System Panel	BA-Glazed_ext - PARTER	LOP	SOUC		Číre zasklení
TERN_1201_DSP_D11_SO01_FAC	"3758062"	"3757876"	Panely obvodového pláště	System Panel	BA-Glazed_ext_opaque	LOP	SOUC		
TERN_1201_DSP_D11_SO01_FAC	"4043919"	"3552227"	Panely obvodového pláště	System Panel	BA-Glazed_ext_opaque_PARTER	LOP	SOUC		Opakní zasklení
TERN_1201_DSP_D11_SO01_FAC	"3457621"	"3440922"	Panely obvodového pláště	System Panel	BA-Glazed_structural	LOP	SOUC		Čiré zasklení
TERN_1201_DSP_D11_SO01_FAC	"3486868"	"3440930"	Panely obvodového pláště	System Panel	BA-Glazed_structural - opaque	LOP	SOUC		Opakní zasklení
TERN_1201_DSP_D11_SO01_FAC	"3618877"	"3492725"	Panely obvodového pláště	System Panel	BA-Glazed_structural - opaque 2-7NP	LOP	SOUC		Opakní zasklení
TERN_1201_DSP_D11_SO01_FAC	"12611"	"3196568"	Panely obvodového pláště	System Panel	Glazed				
TERN_1201_DSP_D11_SO01_FAC	"2828083"	"3926210"	Panely obvodového pláště	System Panel	SkylightCB	VOE	D		Karuselové dveře
TERN_1201_DSP_D11_SO01_FAC	"35764"	"3440915"	Panely obvodového pláště	System Panel	Solid				
TERN_1201_DSP_D11_SO01_FAC	"94972"	"3105966"	Panely obvodového pláště	System Panel	Wall				
TERN_1201_DSP_D141_SO01_ZTI	"960723"	"2938739"	Instalační zařizovací předměty	TOPWET_Terasová vpust TWT(E) 110 S	TWT 110 BIT S svislé provedení, manžeta z asfaltového pásu			DVORNÍ VTOK DN100	Vpusť
TERN_1201_DSP_D11_SO01_FAC	"3618772"	"3617341"	Příčle obvodového pláště	Trapezoid Corner Mullion	"300x150mm_parter"	LOP	SOUC		Bezrámový lepený spoj
TERN_1201_DSP_D11_SO01_ASR	"5580648"	"5580692"	Truhlářské výrobky	Trubka	KB_zách_system	TZKO	OV		
TERN_1201_DSP_D11_SO01_ASR	"5668273"	"5668351"	Instalační zařizovací předměty	Turniket	Turniket	TZKO	OV		Turniket
TERN_1201_DSP_D141_SO01_ZTI	"1652221"	"2292944"	Instalační zařizovací předměty	Umyvadlo	Umyvadlo se stojánkovou baterií	TRBK	SK	U	
TERN_1201_DSP_D11_SO01_ASR	"4012081"	"5662858"	Instalační zařizovací předměty	Umyvadlo hranaté	"400x310"	GRAF			
TERN_1201_DSP_D11_SO01_ASR	"4012083"	"4012103"	Instalační zařizovací předměty	Umyvadlo hranaté	"600x470"	NEVYKAZOVAT			
TERN_1201_DSP_D11_SO01_ASR	"4014457"	"4014473"	Instalační zařizovací předměty	Urinál	Urinál	NEVYKAZOVAT			
TERN_1201_DSP_D147_SO01_SHZ	"1718307"	"1718448"	Elektrické vybavení	Ustredna poruchovych stavu	Ustredna poruchovych stavu				
TERN_1201_DSP_D11_SO01_FAC	"3658746"	"3654621"	Příčle obvodového pláště	V Corner Mullion	"150x150mm_terrace"	LOP	SOUC		
TERN_1201_DSP_D11_SO01_FAC	"3783614"	"3784139"	Podhledy	Vícevrstvý podhled	BA_Ceiling_sofit	POD	SKLADBA		Kovový panel na roštu
TERN_1201_DSP_D11_SO01_FAC	"3783947"	"3783567"	Podhledy	Vícevrstvý podhled	BA_Ceiling_sofit + tep i	POD	SKLADBA		
TERN_1201_DSP_D11_SO01_ASR	"4745837"	"4744368"	Podhledy	Vícevrstvý podhled	Podhled IZOLET_120mm	PDI	SKLADBA		Podhled Izolet tl. 120mm
TERN_1201_DSP_D11_SO01_ASR	"313142"	"4304215"	Podhledy	Vícevrstvý podhled	SDK podhled 100 mm	POD	SKLADBA		Sádrokartonový podhled tl. 100 mm
TERN_1201_DSP_D11_SO01_ASR	"5583969"	"5583395"	Podhledy	Vícevrstvý podhled	SDK podhled 80 EI 90 S/Z	POD	SKLADBA		Sádrokartonový podhled tl. 100 mm
TERN_1201_DSP_D11_SO01_ASR	"5619276"	"5619279"	Dveře	vrata sekční	vrata 2700x3000	VOE	VOO	D.42	
